trial	subj	age	gender	stimulustype	item	condition	word	position	rt	correct
0	9	19	F	Filler	92	5	The	1	128.0	NA
0	9	19	F	Filler	92	5	personal	2	501.0	NA
0	9	19	F	Filler	92	5	trainer	3	117.0	NA
0	9	19	F	Filler	92	5	was	4	200.0	NA
0	9	19	F	Filler	92	5	popular	5	133.0	NA
0	9	19	F	Filler	92	5	among	6	183.0	NA
0	9	19	F	Filler	92	5	athletes	7	150.0	NA
0	9	19	F	Filler	92	5	after	8	135.0	NA
0	9	19	F	Filler	92	5	he	9	133.0	NA
0	9	19	F	Filler	92	5	helped	10	116.0	NA
0	9	19	F	Filler	92	5	the	11	149.0	NA
0	9	19	F	Filler	92	5	bodybuilder	12	134.0	NA
0	9	19	F	Filler	92	5	win	13	118.0	NA
0	9	19	F	Filler	92	5	the	14	117.0	NA
0	9	19	F	Filler	92	5	competition.	15	148.0	NA
0	9	19	F	Question	92	5	NA	NA	866.0	0
1	9	19	F	Filler	73	5	My	1	78.0	NA
1	9	19	F	Filler	73	5	cousins	2	134.0	NA
1	9	19	F	Filler	73	5	admired	3	200.0	NA
1	9	19	F	Filler	73	5	the	4	117.0	NA
1	9	19	F	Filler	73	5	singer	5	150.0	NA
1	9	19	F	Filler	73	5	although	6	132.0	NA
1	9	19	F	Filler	73	5	she	7	151.0	NA
1	9	19	F	Filler	73	5	never	8	166.0	NA
1	9	19	F	Filler	73	5	became	9	133.0	NA
1	9	19	F	Filler	73	5	popular.	10	117.0	NA
1	9	19	F	Question	73	5	NA	NA	1867.0	1
2	9	19	F	Filler	60	4	The	1	129.0	NA
2	9	19	F	Filler	60	4	newlyweds	2	582.0	NA
2	9	19	F	Filler	60	4	were	3	84.0	NA
2	9	19	F	Filler	60	4	nervous	4	133.0	NA
2	9	19	F	Filler	60	4	about	5	166.0	NA
2	9	19	F	Filler	60	4	their	6	102.0	NA
2	9	19	F	Filler	60	4	new	7	115.0	NA
2	9	19	F	Filler	60	4	life	8	118.0	NA
2	9	19	F	Filler	60	4	together.	9	149.0	NA
2	9	19	F	Question	60	4	NA	NA	916.0	1
3	9	19	F	swets	32	1	The	1	96.0	NA
3	9	19	F	swets	32	1	niece	2	100.0	NA
3	9	19	F	swets	32	1	of	3	100.0	NA
3	9	19	F	swets	32	1	the	4	116.0	NA
3	9	19	F	swets	32	1	duchess	5	132.0	NA
3	9	19	F	swets	32	1	who	6	118.0	NA
3	9	19	F	swets	32	1	looked	7	149.0	NA
3	9	19	F	swets	32	1	at	8	118.0	NA
3	9	19	F	swets	32	1	herself	9	150.0	NA
3	9	19	F	swets	32	1	in	10	133.0	NA
3	9	19	F	swets	32	1	the	11	117.0	NA
3	9	19	F	swets	32	1	mirror	12	133.0	NA
3	9	19	F	swets	32	1	wore	13	84.0	NA
3	9	19	F	swets	32	1	a	14	134.0	NA
3	9	19	F	swets	32	1	blue	15	166.0	NA
3	9	19	F	swets	32	1	shirt.	16	100.0	NA
3	9	19	F	Question	32	1	NA	NA	2668.0	0
4	9	19	F	Filler	142	7	The	1	145.0	NA
4	9	19	F	Filler	142	7	cats	2	116.0	NA
4	9	19	F	Filler	142	7	and	3	116.0	NA
4	9	19	F	Filler	142	7	dogs	4	135.0	NA
4	9	19	F	Filler	142	7	glared	5	117.0	NA
4	9	19	F	Filler	142	7	at	6	133.0	NA
4	9	19	F	Filler	142	7	each	7	118.0	NA
4	9	19	F	Filler	142	7	other	8	133.0	NA
4	9	19	F	Filler	142	7	warily.	9	132.0	NA
4	9	19	F	Question	142	7	NA	NA	917.0	1
5	9	19	F	Filler	120	6	Sarah	1	244.0	NA
5	9	19	F	Filler	120	6	won't	2	117.0	NA
5	9	19	F	Filler	120	6	reveal	3	133.0	NA
5	9	19	F	Filler	120	6	which	4	117.0	NA
5	9	19	F	Filler	120	6	race	5	149.0	NA
5	9	19	F	Filler	120	6	she	6	118.0	NA
5	9	19	F	Filler	120	6	won	7	133.0	NA
5	9	19	F	Filler	120	6	without	8	167.0	NA
5	9	19	F	Filler	120	6	entering	9	151.0	NA
5	9	19	F	Filler	120	6	the	10	116.0	NA
5	9	19	F	Filler	120	6	competition	11	134.0	NA
5	9	19	F	Filler	120	6	for	12	150.0	NA
5	9	19	F	Filler	120	6	officially.	13	133.0	NA
5	9	19	F	Question	120	6	NA	NA	883.0	1
6	9	19	F	Filler	132	7	While	1	44.0	NA
6	9	19	F	Filler	132	7	John	2	150.0	NA
6	9	19	F	Filler	132	7	and	3	167.0	NA
6	9	19	F	Filler	132	7	Mary	4	167.0	NA
6	9	19	F	Filler	132	7	kissed	5	151.0	NA
6	9	19	F	Filler	132	7	their	6	132.0	NA
6	9	19	F	Filler	132	7	daughter	7	166.0	NA
6	9	19	F	Filler	132	7	fell	8	135.0	NA
6	9	19	F	Filler	132	7	asleep.	9	134.0	NA
6	9	19	F	Question	132	7	NA	NA	1299.0	0
7	9	19	F	Filler	124	6	The	1	227.0	NA
7	9	19	F	Filler	124	6	mothers	2	1051.0	NA
7	9	19	F	Filler	124	6	and	3	117.0	NA
7	9	19	F	Filler	124	6	teachers	4	151.0	NA
7	9	19	F	Filler	124	6	played	5	150.0	NA
7	9	19	F	Filler	124	6	tennis	6	166.0	NA
7	9	19	F	Filler	124	6	after	7	117.0	NA
7	9	19	F	Filler	124	6	the	8	451.0	NA
7	9	19	F	Filler	124	6	kids	9	300.0	NA
7	9	19	F	Filler	124	6	left.	10	200.0	NA
7	9	19	F	Question	124	6	NA	NA	1166.0	1
8	9	19	F	Filler	139	7	Laurie	1	245.0	NA
8	9	19	F	Filler	139	7	asked	2	166.0	NA
8	9	19	F	Filler	139	7	which	3	150.0	NA
8	9	19	F	Filler	139	7	truck	4	151.0	NA
8	9	19	F	Filler	139	7	the	5	148.0	NA
8	9	19	F	Filler	139	7	dealership	6	150.0	NA
8	9	19	F	Filler	139	7	sold	7	168.0	NA
8	9	19	F	Filler	139	7	but	8	165.0	NA
8	9	19	F	Filler	139	7	didn't	9	135.0	NA
8	9	19	F	Filler	139	7	paint	10	150.0	NA
8	9	19	F	Filler	139	7	completely.	11	201.0	NA
8	9	19	F	Question	139	7	NA	NA	1400.0	1
9	9	19	F	Filler	68	4	The	1	28.0	NA
9	9	19	F	Filler	68	4	scientist	2	132.0	NA
9	9	19	F	Filler	68	4	published	3	334.0	NA
9	9	19	F	Filler	68	4	a	4	117.0	NA
