trial	subj	age	gender	stimulustype	item	condition	word	position	rt	correct
0	24	20	F	Filler	82	5	The	1	628.0	NA
0	24	20	F	Filler	82	5	patient's	2	398.0	NA
0	24	20	F	Filler	82	5	seizures	3	317.0	NA
0	24	20	F	Filler	82	5	appeared	4	320.0	NA
0	24	20	F	Filler	82	5	to	5	382.0	NA
0	24	20	F	Filler	82	5	have	6	332.0	NA
0	24	20	F	Filler	82	5	been	7	335.0	NA
0	24	20	F	Filler	82	5	eliminated	8	284.0	NA
0	24	20	F	Filler	82	5	by	9	366.0	NA
0	24	20	F	Filler	82	5	the	10	334.0	NA
0	24	20	F	Filler	82	5	surgery.	11	266.0	NA
0	24	20	F	Question	82	5	NA	NA	2000.0	1
1	24	20	F	swets	13	3	The	1	761.0	NA
1	24	20	F	swets	13	3	great-aunt	2	833.0	NA
1	24	20	F	swets	13	3	of	3	534.0	NA
1	24	20	F	swets	13	3	the	4	400.0	NA
1	24	20	F	swets	13	3	policeman	5	602.0	NA
1	24	20	F	swets	13	3	who	6	432.0	NA
1	24	20	F	swets	13	3	treated	7	517.0	NA
1	24	20	F	swets	13	3	herself	8	401.0	NA
1	24	20	F	swets	13	3	after	9	382.0	NA
1	24	20	F	swets	13	3	the	10	317.0	NA
1	24	20	F	swets	13	3	accident	11	351.0	NA
1	24	20	F	swets	13	3	was	12	366.0	NA
1	24	20	F	swets	13	3	watching	13	366.0	NA
1	24	20	F	swets	13	3	the	14	334.0	NA
1	24	20	F	swets	13	3	news.	15	302.0	NA
1	24	20	F	Question	13	3	NA	NA	13736.0	1
2	24	20	F	Filler	106	5	On	1	177.0	NA
2	24	20	F	Filler	106	5	the	2	417.0	NA
2	24	20	F	Filler	106	5	last	3	318.0	NA
2	24	20	F	Filler	106	5	night	4	283.0	NA
2	24	20	F	Filler	106	5	of	5	301.0	NA
2	24	20	F	Filler	106	5	summer	6	266.0	NA
2	24	20	F	Filler	106	5	camp	7	266.0	NA
2	24	20	F	Filler	106	5	the	8	317.0	NA
2	24	20	F	Filler	106	5	counselors	9	300.0	NA
2	24	20	F	Filler	106	5	let	10	351.0	NA
2	24	20	F	Filler	106	5	the	11	300.0	NA
2	24	20	F	Filler	106	5	children	12	283.0	NA
2	24	20	F	Filler	106	5	stay	13	285.0	NA
2	24	20	F	Filler	106	5	up	14	283.0	NA
2	24	20	F	Filler	106	5	until	15	333.0	NA
2	24	20	F	Filler	106	5	midnight.	16	301.0	NA
2	24	20	F	Question	106	5	NA	NA	2032.0	1
3	24	20	F	Filler	143	7	The	1	611.0	NA
3	24	20	F	Filler	143	7	lawyer	2	333.0	NA
3	24	20	F	Filler	143	7	and	3	319.0	NA
3	24	20	F	Filler	143	7	defendant	4	282.0	NA
3	24	20	F	Filler	143	7	whispered	5	332.0	NA
3	24	20	F	Filler	143	7	furiously	6	368.0	NA
3	24	20	F	Filler	143	7	during	7	334.0	NA
3	24	20	F	Filler	143	7	the	8	317.0	NA
3	24	20	F	Filler	143	7	recess.	9	298.0	NA
3	24	20	F	Question	143	7	NA	NA	1770.0	1
4	24	20	F	swets	20	1	The	1	396.0	NA
4	24	20	F	swets	20	1	brother	2	349.0	NA
4	24	20	F	swets	20	1	of	3	285.0	NA
4	24	20	F	swets	20	1	the	4	232.0	NA
