trial	subj	age	gender	stimulustype	item	condition	word	position	rt	correct
0	32	19	F	Filler	85	5	The	1	530.0	NA
0	32	19	F	Filler	85	5	college	2	566.0	NA
0	32	19	F	Filler	85	5	students	3	347.0	NA
0	32	19	F	Filler	85	5	were	4	321.0	NA
0	32	19	F	Filler	85	5	upset	5	381.0	NA
0	32	19	F	Filler	85	5	that	6	468.0	NA
0	32	19	F	Filler	85	5	they	7	301.0	NA
0	32	19	F	Filler	85	5	had	8	316.0	NA
0	32	19	F	Filler	85	5	an	9	301.0	NA
0	32	19	F	Filler	85	5	exam	10	316.0	NA
0	32	19	F	Filler	85	5	the	11	315.0	NA
0	32	19	F	Filler	85	5	next	12	317.0	NA
0	32	19	F	Filler	85	5	day.	13	351.0	NA
0	32	19	F	Question	85	5	NA	NA	3911.0	1
1	32	19	F	Filler	89	5	Jim	1	315.0	NA
1	32	19	F	Filler	89	5	watered	2	332.0	NA
1	32	19	F	Filler	89	5	the	3	314.0	NA
1	32	19	F	Filler	89	5	tropical	4	285.0	NA
1	32	19	F	Filler	89	5	plants	5	333.0	NA
1	32	19	F	Filler	89	5	of	6	319.0	NA
1	32	19	F	Filler	89	5	his	7	301.0	NA
1	32	19	F	Filler	89	5	neighbor	8	365.0	NA
1	32	19	F	Filler	89	5	because	9	350.0	NA
1	32	19	F	Filler	89	5	she	10	386.0	NA
1	32	19	F	Filler	89	5	had	11	366.0	NA
1	32	19	F	Filler	89	5	gone	12	436.0	NA
1	32	19	F	Filler	89	5	out	13	317.0	NA
1	32	19	F	Filler	89	5	of	14	466.0	NA
1	32	19	F	Filler	89	5	town	15	450.0	NA
1	32	19	F	Filler	89	5	for	16	367.0	NA
1	32	19	F	Filler	89	5	a	17	350.0	NA
1	32	19	F	Filler	89	5	few	18	334.0	NA
1	32	19	F	Filler	89	5	days.	19	350.0	NA
1	32	19	F	Question	89	5	NA	NA	2677.0	1
2	32	19	F	Filler	57	4	The	1	344.0	NA
2	32	19	F	Filler	57	4	architect	2	252.0	NA
2	32	19	F	Filler	57	4	was	3	351.0	NA
2	32	19	F	Filler	57	4	embarrassed	4	632.0	NA
2	32	19	F	Filler	57	4	by	5	370.0	NA
2	32	19	F	Filler	57	4	the	6	382.0	NA
2	32	19	F	Filler	57	4	memo	7	532.0	NA
2	32	19	F	Filler	57	4	of	8	418.0	NA
2	32	19	F	Filler	57	4	the	9	366.0	NA
2	32	19	F	Filler	57	4	engineer	10	1667.0	NA
2	32	19	F	Filler	57	4	because	11	419.0	NA
2	32	19	F	Filler	57	4	it	12	368.0	NA
2	32	19	F	Filler	57	4	said	13	317.0	NA
2	32	19	F	Filler	57	4	that	14	333.0	NA
2	32	19	F	Filler	57	4	his	15	286.0	NA
2	32	19	F	Filler	57	4	building	16	335.0	NA
2	32	19	F	Filler	57	4	would	17	332.0	NA
2	32	19	F	Filler	57	4	collapse.	18	315.0	NA
2	32	19	F	Question	57	4	NA	NA	3648.0	1
3	32	19	F	Filler	102	5	The	1	463.0	NA
3	32	19	F	Filler	102	5	old	2	315.0	NA
3	32	19	F	Filler	102	5	man	3	236.0	NA
3	32	19	F	Filler	102	5	appeared	4	247.0	NA
3	32	19	F	Filler	102	5	to	5	219.0	NA
3	32	19	F	Filler	102	5	be	6	199.0	NA
3	32	19	F	Filler	102	5	upset	7	202.0	NA
3	32	19	F	Filler	102	5	by	8	333.0	NA
3	32	19	F	Filler	102	5	the	9	301.0	NA
3	32	19	F	Filler	102	5	teenager's	10	468.0	NA
3	32	19	F	Filler	102	5	ignorant	11	664.0	NA
3	32	19	F	Filler	102	5	remark.	12	550.0	NA
3	32	19	F	Question	102	5	NA	NA	2516.0	1
4	32	19	F	swets	8	3	The	1	328.0	NA
4	32	19	F	swets	8	3	brother	2	269.0	NA
4	32	19	F	swets	8	3	of	3	250.0	NA
4	32	19	F	swets	8	3	the	4	217.0	NA
4	32	19	F	swets	8	3	seamstress	5	216.0	NA
4	32	19	F	swets	8	3	who	6	684.0	NA
4	32	19	F	swets	8	3	entertained	7	1100.0	NA
4	32	19	F	swets	8	3	himself	8	3404.0	NA
4	32	19	F	swets	8	3	most	9	382.0	NA
4	32	19	F	swets	8	3	evenings	10	402.0	NA
4	32	19	F	swets	8	3	was	11	318.0	NA
4	32	19	F	swets	8	3	reading	12	351.0	NA
4	32	19	F	swets	8	3	a	13	316.0	NA
4	32	19	F	swets	8	3	book.	14	300.0	NA
4	32	19	F	Question	8	3	NA	NA	1344.0	1
5	32	19	F	Filler	128	7	While	1	64.0	NA
5	32	19	F	Filler	128	7	the	2	566.0	NA
5	32	19	F	Filler	128	7	man	3	300.0	NA
5	32	19	F	Filler	128	7	was	4	583.0	NA
5	32	19	F	Filler	128	7	walking	5	432.0	NA
5	32	19	F	Filler	128	7	the	6	302.0	NA
5	32	19	F	Filler	128	7	poodle	7	284.0	NA
5	32	19	F	Filler	128	7	barked	8	1230.0	NA
5	32	19	F	Filler	128	7	loudly.	9	605.0	NA
5	32	19	F	Question	128	7	NA	NA	1208.0	1
6	32	19	F	Filler	87	5	The	1	346.0	NA
6	32	19	F	Filler	87	5	car	2	350.0	NA
6	32	19	F	Filler	87	5	chased	3	399.0	NA
6	32	19	F	Filler	87	5	the	4	484.0	NA
6	32	19	F	Filler	87	5	robber	5	936.0	NA
6	32	19	F	Filler	87	5	of	6	249.0	NA
6	32	19	F	Filler	87	5	the	7	317.0	NA
6	32	19	F	Filler	87	5	bank	8	181.0	NA
6	32	19	F	Filler	87	5	into	9	451.0	NA
6	32	19	F	Filler	87	5	a	10	318.0	NA
6	32	19	F	Filler	87	5	narrow	11	566.0	NA
6	32	19	F	Filler	87	5	alley.	12	418.0	NA
6	32	19	F	Question	87	5	NA	NA	2010.0	1
7	32	19	F	swets	22	2	The	1	328.0	NA
7	32	19	F	swets	22	2	niece	2	302.0	NA
7	32	19	F	swets	22	2	of	3	332.0	NA
7	32	19	F	swets	22	2	the	4	234.0	NA
7	32	19	F	swets	22	2	commander	5	148.0	NA
7	32	19	F	swets	22	2	who	6	421.0	NA
7	32	19	F	swets	22	2	calmed	7	282.0	NA
7	32	19	F	swets	22	2	himself	8	349.0	NA
7	32	19	F	swets	22	2	after	9	419.0	NA
7	32	19	F	swets	22	2	the	10	299.0	NA
7	32	19	F	swets	22	2	tragedy	11	200.0	NA
7	32	19	F	swets	22	2	was	12	449.0	NA
7	32	19	F	swets	22	2	waiting	13	350.0	NA
7	32	19	F	swets	22	2	for	14	302.0	NA
7	32	19	F	swets	22	2	the	15	315.0	NA
7	32	19	F	swets	22	2	doctor.	16	467.0	NA
7	32	19	F	Question	22	2	NA	NA	1545.0	1
8	32	19	F	Filler	95	5	The	1	345.0	NA
8	32	19	F	Filler	95	5	receptionist	2	300.0	NA
8	32	19	F	Filler	95	5	of	3	467.0	NA
8	32	19	F	Filler	95	5	the	4	284.0	NA
8	32	19	F	Filler	95	5	company	5	250.0	NA
8	32	19	F	Filler	95	5	went	6	285.0	NA
