trial	subj	age	gender	stimulustype	item	condition	word	position	rt	correct
0	18	20	M	Filler	131	7	While	1	796.0	NA
0	18	20	M	Filler	131	7	Jamie	2	333.0	NA
0	18	20	M	Filler	131	7	dried	3	416.0	NA
0	18	20	M	Filler	131	7	off	4	368.0	NA
0	18	20	M	Filler	131	7	the	5	332.0	NA
0	18	20	M	Filler	131	7	table	6	349.0	NA
0	18	20	M	Filler	131	7	his	7	367.0	NA
0	18	20	M	Filler	131	7	sunglasses	8	450.0	NA
0	18	20	M	Filler	131	7	disappeared.	9	401.0	NA
0	18	20	M	Question	131	7	NA	NA	1967.0	1
1	18	20	M	swets	2	1	The	1	445.0	NA
1	18	20	M	swets	2	1	uncle	2	367.0	NA
1	18	20	M	swets	2	1	of	3	367.0	NA
1	18	20	M	swets	2	1	the	4	332.0	NA
1	18	20	M	swets	2	1	fireman	5	368.0	NA
1	18	20	M	swets	2	1	who	6	350.0	NA
1	18	20	M	swets	2	1	criticized	7	366.0	NA
1	18	20	M	swets	2	1	himself	8	335.0	NA
1	18	20	M	swets	2	1	far	9	349.0	NA
1	18	20	M	swets	2	1	too	10	384.0	NA
1	18	20	M	swets	2	1	often	11	399.0	NA
1	18	20	M	swets	2	1	was	12	1267.0	NA
1	18	20	M	swets	2	1	painting	13	468.0	NA
1	18	20	M	swets	2	1	the	14	383.0	NA
1	18	20	M	swets	2	1	bedroom.	15	400.0	NA
1	18	20	M	Question	2	1	NA	NA	1500.0	1
2	18	20	M	Filler	139	7	Laurie	1	596.0	NA
2	18	20	M	Filler	139	7	asked	2	383.0	NA
2	18	20	M	Filler	139	7	which	3	334.0	NA
2	18	20	M	Filler	139	7	truck	4	333.0	NA
2	18	20	M	Filler	139	7	the	5	334.0	NA
2	18	20	M	Filler	139	7	dealership	6	382.0	NA
2	18	20	M	Filler	139	7	sold	7	351.0	NA
2	18	20	M	Filler	139	7	but	8	333.0	NA
2	18	20	M	Filler	139	7	didn't	9	350.0	NA
2	18	20	M	Filler	139	7	paint	10	367.0	NA
2	18	20	M	Filler	139	7	completely.	11	349.0	NA
2	18	20	M	Question	139	7	NA	NA	1302.0	1
3	18	20	M	Filler	116	6	As	1	446.0	NA
3	18	20	M	Filler	116	6	the	2	367.0	NA
3	18	20	M	Filler	116	6	survivors	3	415.0	NA
3	18	20	M	Filler	116	6	were	4	384.0	NA
3	18	20	M	Filler	116	6	embracing	5	518.0	NA
3	18	20	M	Filler	116	6	the	6	434.0	NA
3	18	20	M	Filler	116	6	firefighter	7	499.0	NA
3	18	20	M	Filler	116	6	coughed	8	518.0	NA
3	18	20	M	Filler	116	6	violently.	9	1865.0	NA
3	18	20	M	Question	116	6	NA	NA	1452.0	1
4	18	20	M	Filler	125	6	The	1	479.0	NA
4	18	20	M	Filler	125	6	bosses	2	484.0	NA
4	18	20	M	Filler	125	6	and	3	399.0	NA
4	18	20	M	Filler	125	6	secretaries	4	351.0	NA
4	18	20	M	Filler	125	6	took	5	349.0	NA
4	18	20	M	Filler	125	6	a	6	351.0	NA
4	18	20	M	Filler	125	6	long	7	351.0	NA
4	18	20	M	Filler	125	6	lunch	8	399.0	NA
4	18	20	M	Filler	125	6	together	9	417.0	NA
4	18	20	M	Filler	125	6	every	10	484.0	NA
4	18	20	M	Filler	125	6	Friday.	11	550.0	NA
4	18	20	M	Question	125	6	NA	NA	1100.0	1
5	18	20	M	swets	28	3	The	1	395.0	NA
5	18	20	M	swets	28	3	nephew	2	1067.0	NA
5	18	20	M	swets	28	3	of	3	1767.0	NA
5	18	20	M	swets	28	3	the	4	415.0	NA
5	18	20	M	swets	28	3	baroness	5	703.0	NA
5	18	20	M	swets	28	3	who	6	584.0	NA
5	18	20	M	swets	28	3	admired	7	615.0	NA
5	18	20	M	swets	28	3	himself	8	684.0	NA
5	18	20	M	swets	28	3	an	9	350.0	NA
5	18	20	M	swets	28	3	inordinate	10	283.0	NA
5	18	20	M	swets	28	3	amount	11	317.0	NA
5	18	20	M	swets	28	3	enjoyed	12	283.0	NA
5	18	20	M	swets	28	3	all	13	334.0	NA
5	18	20	M	swets	28	3	the	14	366.0	NA
5	18	20	M	swets	28	3	attention.	15	435.0	NA
5	18	20	M	Question	28	3	NA	NA	2100.0	1
6	18	20	M	Filler	46	4	The	1	446.0	NA
6	18	20	M	Filler	46	4	preacher	2	550.0	NA
6	18	20	M	Filler	46	4	of	3	400.0	NA
6	18	20	M	Filler	46	4	the	4	367.0	NA
6	18	20	M	Filler	46	4	congregation	5	450.0	NA
6	18	20	M	Filler	46	4	had	6	384.0	NA
6	18	20	M	Filler	46	4	given	7	367.0	NA
6	18	20	M	Filler	46	4	a	8	400.0	NA
6	18	20	M	Filler	46	4	sermon	9	315.0	NA
6	18	20	M	Filler	46	4	at	10	384.0	NA
6	18	20	M	Filler	46	4	a	11	383.0	NA
6	18	20	M	Filler	46	4	local	12	385.0	NA
6	18	20	M	Filler	46	4	school.	13	351.0	NA
6	18	20	M	Question	46	4	NA	NA	1400.0	1
7	18	20	M	Filler	108	5	The	1	577.0	NA
7	18	20	M	Filler	108	5	museum	2	418.0	NA
7	18	20	M	Filler	108	5	wing	3	434.0	NA
7	18	20	M	Filler	108	5	which	4	418.0	NA
7	18	20	M	Filler	108	5	housed	5	416.0	NA
7	18	20	M	Filler	108	5	all	6	417.0	NA
7	18	20	M	Filler	108	5	the	7	416.0	NA
7	18	20	M	Filler	108	5	Picasso	8	467.0	NA
7	18	20	M	Filler	108	5	paintings	9	516.0	NA
7	18	20	M	Filler	108	5	was	10	401.0	NA
7	18	20	M	Filler	108	5	very	11	484.0	NA
7	18	20	M	Filler	108	5	crowded.	12	901.0	NA
7	18	20	M	Question	108	5	NA	NA	1497.0	1
8	18	20	M	Filler	112	6	As	1	511.0	NA
8	18	20	M	Filler	112	6	the	2	351.0	NA
8	18	20	M	Filler	112	6	dog	3	368.0	NA
8	18	20	M	Filler	112	6	was	4	415.0	NA
8	18	20	M	Filler	112	6	calming	5	801.0	NA
8	18	20	M	Filler	112	6	down	6	1184.0	NA
8	18	20	M	Filler	112	6	the	7	583.0	NA
8	18	20	M	Filler	112	6	puppy	8	450.0	NA
8	18	20	M	Filler	112	6	slept	9	583.0	NA
8	18	20	M	Filler	112	6	in	10	634.0	NA
8	18	20	M	Filler	112	6	the	11	466.0	NA
8	18	20	M	Filler	112	6	cage.	12	951.0	NA
8	18	20	M	Question	112	6	NA	NA	1367.0	1
9	18	20	M	swets	23	1	The	1	528.0	NA
9	18	20	M	swets	23	1	mother	2	415.0	NA
9	18	20	M	swets	23	1	of	3	402.0	NA
9	18	20	M	swets	23	1	the	4	366.0	NA
9	18	20	M	swets	23	1	ballerina	5	449.0	NA
9	18	20	M	swets	23	1	who	6	668.0	NA
9	18	20	M	swets	23	1	found	7	515.0	NA
9	18	20	M	swets	23	1	herself	8	336.0	NA
9	18	20	M	swets	23	1	in	9	382.0	NA
9	18	20	M	swets	23	1	a	10	317.0	NA
9	18	20	M	swets	23	1	lot	11	334.0	NA
9	18	20	M	swets	23	1	of	12	334.0	NA
9	18	20	M	swets	23	1	trouble	13	350.0	NA
9	18	20	M	swets	23	1	phoned	14	366.0	NA
9	18	20	M	swets	23	1	the	15	384.0	NA
9	18	20	M	swets	23	1	police.	16	350.0	NA
9	18	20	M	Question	23	1	NA	NA	1968.0	1
10	18	20	M	Filler	120	6	Sarah	1	711.0	NA
10	18	20	M	Filler	120	6	won't	2	484.0	NA
10	18	20	M	Filler	120	6	reveal	3	417.0	NA
10	18	20	M	Filler	120	6	which	4	367.0	NA
10	18	20	M	Filler	120	6	race	5	399.0	NA
10	18	20	M	Filler	120	6	she	6	367.0	NA
10	18	20	M	Filler	120	6	won	7	351.0	NA
10	18	20	M	Filler	120	6	without	8	416.0	NA
10	18	20	M	Filler	120	6	entering	9	418.0	NA
10	18	20	M	Filler	120	6	the	10	399.0	NA
10	18	20	M	Filler	120	6	competition	11	951.0	NA
10	18	20	M	Filler	120	6	for	12	532.0	NA
10	18	20	M	Filler	120	6	officially.	13	535.0	NA
10	18	20	M	Question	120	6	NA	NA	1667.0	1
11	18	20	M	Filler	117	6	While	1	511.0	NA
11	18	20	M	Filler	117	6	Mike	2	401.0	NA
11	18	20	M	Filler	117	6	coughed	3	483.0	NA
11	18	20	M	Filler	117	6	Janet	4	467.0	NA
11	18	20	M	Filler	117	6	went	5	403.0	NA
11	18	20	M	Filler	117	6	out	6	365.0	NA
11	18	20	M	Filler	117	6	to	7	317.0	NA
11	18	20	M	Filler	117	6	get	8	333.0	NA
